specialite,molecules,grammages,forme,labo,dci_signature,source_country,source_name,detail_url,atc_code,auth_number,source_ref,composition_raw,dosage_raw,presentation,distributeur,classe_therapeutique,statut,ppv_value,ppv_currency,prix_hospitalier,tableau,notice_url,nature_produit,ajoute_le,maj_le,scraped_at,last_seen,presentation_pretty,dosage_pretty,composition_pretty
ABSTRAL 100 µG,fentanyl,100 µg,Comprimé sublingual [P] [SS],SOTHEMA,fentanyl,MA,medicament.ma,https://medicament.ma/medicament/abstral-100-%c2%b5g-comprime-sublingual/,N02AB03,,,Fentanyl,100 µG,Boite de 10,SOTHEMA,Antalgiques opioïdes,Commercialisé,876.0,dhs,582.00 dhs,B,,Médicament,Ajouté le: 2 novembre 2016 à 16:59,Mise à jour le: 2 février 2024 à 09:27,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 10,100 µG,Fentanyl
ACARD 50 MG,losartan,50 mg,Comprimé pelliculé,MC PHARMA,losartan,MA,medicament.ma,https://medicament.ma/medicament/acard-50-mg-comprime-pellicule/,C09CA01,,,Losartan,50 MG,Boite de 28,MC PHARMA,Antagoniste des récepteurs de l'angiotensine II,Commercialisé,77.2,dhs,48.20 dhs,A,,Médicament,Ajouté le: 19 novembre 2018 à 15:32,Mise à jour le: 3 octobre 2022 à 16:31,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 28,50 MG,Losartan
ABIRANAT 250 MG,abiraterone,250 mg,Comprimé,AMANYS PHARMA (Ex SAHAM PHARMA),abiraterone,MA,medicament.ma,https://medicament.ma/medicament/abiranat-250-mg-comprime/,L02BX03,,,Abiraterone,250 MG,Boite d'un flacon de 120,AMANYS PHARMA (Ex SAHAM PHARMA),"Endocrinothérapie, autres antagonistes hormonaux et agents apparentés",Commercialisé,10411.0,dhs,10215.00 dhs,A,,,Ajouté le: 24 mai 2023 à 14:09,Mise à jour le: 17 janvier 2025 à 18:43,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite d'un flacon de 120,250 MG,Abiraterone
A.V.T.,acide acetylsalicylique | vitamine c | vitamine b1,500 mg | 0.02 g | 0.02 g,Comprimé effervescent,LAPROPHAN,acide acetylsalicylique + vitamine b1 + vitamine c,MA,medicament.ma,https://medicament.ma/medicament/a-v-t-500-mg-comprime-effervescent/,N02BA51,,,Acide acetylsalicylique | Vitamine C | Vitamine B1,500 MG | 0.02 G | 0.02 G,Boîte de 10,LAPROPHAN,"Analgésique , antipyrétique",Commercialisé,10.7,dhs,6.70 dhs,Aucun,,Médicament,Ajouté le: 25 janvier 2012 à 15:29,Mise à jour le: 3 novembre 2025 à 10:34,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 10,500 MG | 0.02 G | 0.02 G,Acide Acetylsalicylique | Vitamine C | Vitamine B1
ACDigest,argile | charbon végétal,,Gélule,NON RENSEIGNÉ,argile + charbon végétal,MA,medicament.ma,https://medicament.ma/medicament/acdigest-gelule/,,,,Argile | Charbon végétal,,Blister de 30,NON RENSEIGNÉ,,Commercialisé,,,,,,Complément alimentaire,Ajouté le: 9 janvier 2014 à 16:52,Mise à jour le: 21 juin 2023 à 16:21,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Blister de 30,,Argile | Charbon Végétal
ABIRATERONE GT 250 MG,abiratérone,250 mg,Comprimé,ATLAS PHARM,abiratérone,MA,medicament.ma,https://medicament.ma/medicament/abiraterone-gt-250-mg-comprime/,L02BX0,,,Abiratérone,250 MG,Boite de 120,ATLAS PHARM,"Antinéoplasique, inhibiteur de la biosynthèse des androgènes (inhibiteur du CYP17A1)",Commercialisé,10411.0,dhs,10215.00 dhs,A,,,Ajouté le: 29 mai 2019 à 15:50,Mise à jour le: 2 août 2021 à 08:16,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 120,250 MG,Abiratérone
ACIDE ALENDRONIQUE GT 70 MG,alendronate,70 mg,Comprimé pelliculé,ATLAS PHARM,alendronate,MA,medicament.ma,https://medicament.ma/medicament/acide-alendronique-gt-70-mg-comprime-pellicule/,M05BA04,,,Alendronate,70 MG,Boîte de 4,ATLAS PHARM,"Régulateur du métabolisme osseux, bisphosphonate",Commercialisé,164.5,dhs,102.80 dhs,A,,Médicament,Ajouté le: 25 janvier 2012 à 15:28,Mise à jour le: 2 février 2024 à 09:34,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boîte de 4,70 MG,Alendronate
ACFOL 5 MG,acide folique,5 mg,Comprimé,VERSALYA SA,acide folique,MA,medicament.ma,https://medicament.ma/medicament/acfol-5mg-comprime/,B03BB01,,,Acide folique,5 MG,Boite de 28,VERSALYA SA,Antianémique,Commercialisé,24.5,dhs,15.30 dhs,Aucun,,Médicament,Ajouté le: 11 juillet 2016 à 09:27,Mise à jour le: 15 février 2024 à 11:15,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 28,5 MG,Acide Folique
ACERUMEN,tensioactifs doux (sodium acylsarcosinate et sucrose ester) | agent humectant | colorant d'origine végétale | excipients qsp 100 %. formule colorée sans conservateur | d'origine naturelle.,,Flacon unidose,ZENITH PHARMA,agent humectant + colorant d'origine végétale + d'origine naturelle. + excipients qsp 100 %. formule colorée sans conservateur + tensioactifs doux (sodium acylsarcosinate et sucrose ester),MA,medicament.ma,https://medicament.ma/medicament/acerumen-flacon-unidose/,,,,"Tensioactifs doux (sodium acylsarcosinate et sucrose ester), agent humectant, colorant d'origine végétale, excipients qsp 100 %. Formule colorée sans conservateur, d'origine naturelle.",,10 flacons,ZENITH PHARMA,,Commercialisé,,,,Aucun,,Dispositif médical,Ajouté le: 12 octobre 2018 à 17:35,Mise à jour le: 30 juin 2023 à 09:06,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,10 flacons,,Tensioactifs Doux (sodium Acylsarcosinate Et Sucrose Ester) | Agent Humectant | Colorant D'Origine Végétale | Excipients Qsp 100 %. Formule Colorée Sans Conservateur | D'Origine Naturelle.
ACICLOVIR VIATRIS 250 MG,aciclovir,250 mg,Poudre pour solution injectable (IV),VIATRIS PHARMACEUTICALS,aciclovir,MA,medicament.ma,https://medicament.ma/medicament/aciclovir-mylan-250-mg-poudre-pour-solution-injectable-iv/,J05AB01,,,Aciclovir,250 MG,Boite de 5 flacons de 10 ML,VIATRIS PHARMACEUTICALS,Antiviral,Commercialisé,628.0,dhs,417.00 dhs,A,,Médicament,Ajouté le: 2 juillet 2018 à 14:54,Mise à jour le: 16 octobre 2025 à 15:08,2025-11-08T02:39:35Z,2025-11-08T02:39:35Z,Boite de 5 flacons de 10 ML,250 MG,Aciclovir
